order_id,order_date,region,channel,sku,units,revenue_cny
SO-100001,2025-07-01,South,direct,VE-1000,8,2628.00
SO-100002,2025-07-01,East,partner,VE-1000,6,2080.50
SO-100003,2025-07-01,East,direct,VE-1000,4,1460.00
SO-100004,2025-07-01,North,online,VE-3000,10,19900.00
SO-100005,2025-07-01,East,direct,VE-2000,6,2700.00
SO-100006,2025-07-01,East,partner,VE-1000,4,1460.00
SO-100007,2025-07-01,East,online,VE-1000,7,2555.00
SO-100008,2025-07-01,North,online,VE-1000,10,3650.00
SO-100009,2025-07-01,South,online,VE-2000,1,405.00
SO-100010,2025-07-01,North,partner,VE-2000,3,1350.00
SO-100011,2025-07-01,South,partner,VE-3000,1,1990.00
SO-100012,2025-07-01,East,partner,VE-2000,5,2250.00
SO-100013,2025-07-01,South,online,VE-1000,17,6205.00
SO-100014,2025-07-01,South,partner,VE-2000,11,4702.50
SO-100015,2025-07-01,North,direct,VE-1000,17,6205.00
SO-100016,2025-07-01,North,online,VE-2000,4,1800.00
SO-100017,2025-07-01,South,online,VE-1000,11,3613.50
SO-100018,2025-07-01,West,online,VE-2000,8,3600.00
SO-100019,2025-07-01,North,partner,VE-2000,17,7267.50
SO-100020,2025-07-01,South,online,VE-1000,9,2956.50
SO-100021,2025-07-01,North,online,VE-2000,5,2250.00
SO-100022,2025-07-01,South,online,VE-2000,9,3847.50
SO-100023,2025-07-02,East,direct,VE-2000,7,3150.00
SO-100024,2025-07-02,North,partner,VE-3000,7,13930.00
SO-100025,2025-07-02,North,online,VE-2000,5,2250.00
SO-100026,2025-07-02,South,online,VE-1000,9,2956.50
SO-100027,2025-07-02,North,online,VE-1000,18,6570.00
SO-100028,2025-07-02,West,online,VE-1000,7,2427.25
SO-100029,2025-07-02,South,partner,VE-1000,14,5110.00
SO-100030,2025-07-02,North,partner,VE-1000,7,2555.00
SO-100031,2025-07-02,West,online,VE-1000,2,730.00
SO-100032,2025-07-02,West,direct,VE-2000,3,1350.00
SO-100033,2025-07-02,East,online,VE-3000,12,23880.00
SO-100034,2025-07-02,West,partner,VE-3000,11,21890.00
SO-100035,2025-07-02,North,online,VE-2000,20,8100.00
SO-100036,2025-07-02,North,direct,VE-1000,5,1825.00
SO-100037,2025-07-02,West,online,VE-3000,10,17910.00
SO-100038,2025-07-02,West,online,VE-2000,1,427.50
SO-100039,2025-07-02,East,direct,VE-1000,10,3467.50
SO-100040,2025-07-02,South,direct,VE-1000,1,365.00
SO-100041,2025-07-02,North,partner,VE-2000,4,1800.00
SO-100042,2025-07-02,East,partner,VE-3000,16,31840.00
SO-100043,2025-07-02,East,direct,VE-1000,13,4507.75
SO-100044,2025-07-02,West,direct,VE-1000,9,3285.00
SO-100045,2025-07-02,East,direct,VE-3000,7,12537.00
SO-100046,2025-07-02,South,partner,VE-1000,12,3942.00
SO-100047,2025-07-02,East,online,VE-2000,7,3150.00
SO-100048,2025-07-02,South,online,VE-2000,5,2250.00
SO-100049,2025-07-02,South,direct,VE-1000,8,2920.00
SO-100050,2025-07-02,South,direct,VE-3000,6,11940.00
SO-100051,2025-07-03,East,direct,VE-1000,4,1460.00
SO-100052,2025-07-03,North,direct,VE-1000,11,3613.50
SO-100053,2025-07-03,North,partner,VE-2000,3,1350.00
SO-100054,2025-07-03,West,online,VE-1000,9,3120.75
SO-100055,2025-07-03,South,partner,VE-2000,9,3645.00
SO-100056,2025-07-03,West,online,VE-2000,12,5400.00
SO-100057,2025-07-03,West,partner,VE-1000,7,2427.25
SO-100058,2025-07-03,South,partner,VE-1000,1,346.75
SO-100059,2025-07-03,West,direct,VE-1000,4,1460.00
SO-100060,2025-07-03,South,direct,VE-1000,8,2920.00
SO-100061,2025-07-03,North,direct,VE-2000,8,3600.00
SO-100062,2025-07-03,North,online,VE-2000,19,8122.50
SO-100063,2025-07-03,North,partner,VE-1000,22,7628.50
SO-100064,2025-07-03,West,partner,VE-2000,11,4950.00
SO-100065,2025-07-03,North,online,VE-1000,8,2920.00
SO-100066,2025-07-03,North,online,VE-3000,5,9452.50
SO-100067,2025-07-03,West,direct,VE-1000,3,1095.00
SO-100068,2025-07-03,East,direct,VE-1000,3,1095.00
SO-100069,2025-07-03,South,partner,VE-1000,11,3613.50
SO-100070,2025-07-03,North,direct,VE-3000,2,3980.00
SO-100071,2025-07-03,East,partner,VE-2000,3,1350.00
SO-100072,2025-07-03,West,online,VE-2000,7,2835.00
SO-100073,2025-07-03,South,direct,VE-2000,3,1350.00
SO-100074,2025-07-03,South,partner,VE-2000,5,2250.00
SO-100075,2025-07-03,West,online,VE-1000,15,5475.00
SO-100076,2025-07-04,East,direct,VE-1000,8,2774.00
SO-100077,2025-07-04,East,partner,VE-2000,13,5265.00
SO-100078,2025-07-04,East,partner,VE-1000,15,4927.50
SO-100079,2025-07-04,South,online,VE-1000,1,365.00
SO-100080,2025-07-04,East,online,VE-1000,12,3942.00
SO-100081,2025-07-04,South,direct,VE-1000,23,7975.25
SO-100082,2025-07-04,North,partner,VE-2000,1,450.00
SO-100083,2025-07-04,West,online,VE-1000,8,2920.00
SO-100084,2025-07-04,South,partner,VE-2000,17,6885.00
SO-100085,2025-07-04,South,direct,VE-2000,15,6412.50
SO-100086,2025-07-04,West,partner,VE-1000,12,4380.00
SO-100087,2025-07-04,East,online,VE-2000,6,2565.00
SO-100088,2025-07-04,South,online,VE-2000,7,2835.00
